Butikk,Bonus,Link
Life,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/life-trumf
Lightup,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/lightup-trumf
Lindex,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/lindex-trumf
Lufthansa,"1,1 % (15 poeng per 100kr)",https://trumfnetthandel.no/cashback/lufthansa-trumf1
Lunehjem,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/lunehjem-trumf
Løpeshop,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/lopeshop-trumf
Magasinet,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/magasinet-trumf
Maxmaling,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/maxmaling-trumf
Milrab,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/milrabtrumf
MiniFinder,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/minifinder-trumf
Mister Spex,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/misterspex-trumf
Monki,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/monki-trumf
Myprotein,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/myprotein-trumf
NIKE,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/nike-no
NLY MAN,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfnly-man
Nelly,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfnelly-no
Netthandelen,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/netthandelen-trumf
Newport Home,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/newport-home-trumf
Nextory,35 kr (472 poeng),https://trumfnetthandel.no/cashback/nextory-trumfs
Nordic Nest,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/nordic-nest-trumf
Nordic Print,"15,6 % (211 poeng per 100kr)",https://trumfnetthandel.no/cashback/nordic-print-trumf
NordicFeel,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfnordic-feel
Nytelse,"35,4 % (478 poeng per 100kr)",https://trumfnetthandel.no/cashback/nytelse-trumf
Nøstebarn,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/nostebarn-trumf
OBH Nordica,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/obh-nordica-trumf
Oakley,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/oakley-trumf
Omio,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/omio-trumf
Oslo Skin Lab,155 kr (2092 poeng),https://trumfnetthandel.no/cashback/oslo-skin-lab
Petster,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/petster-trumf
Platekompaniet,"3,8 % (51 poeng per 100kr)",https://trumfnetthandel.no/cashback/platekompaniet-trumf
Plukkselv,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/plukkselv-trumf
Polarn O. Pyret,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfpolarn-o-pyretno
Premiumtek,"9,9 % (134 poeng per 100kr)",https://trumfnetthandel.no/cashback/premiumtek-trumf
Proshop,"3,7 % (50 poeng per 100kr)",https://trumfnetthandel.no/cashback/proshop-trumf
Proteinfabrikken,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfproteinfabrikken
Puma,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/puma-trumf
Qatar Airways,"1,5 % (20 poeng per 100kr)",https://trumfnetthandel.no/cashback/qatar-airways-notrumf
Racketspesialisten,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/racketspesialisten
Radisson Hotels,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfradissonhotels
Razer,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/razer-trumf
Reforma,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/reforma-trumf
Rentalcars,7 % (94 poeng per 100kr),https://trumfnetthandel.no/cashback/rentalcars-trumf
Risskov Bilferie,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/risskov-bilferietrumf
Rolfs Reiser,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/rolfs-reiser-trumf
RoyalDesign,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfroyaldesign
Rum21,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfrum21
SACKit,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/sackit-trumf
STIGA Sports,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/stiga-sports-trumf
SWIMS,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/swims-trumf
Samsung,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/samsung-trumf
Scandic Hotels,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/scandic-hotels-trumf
Shaping New Tomorrow,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/shaping-new-tomorrow-trumf
SillySanta,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/sillysanta-trumf
SkinSecret,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/skinsecret-trumf
Skistart,"2,7 % (36 poeng per 100kr)",https://trumfnetthandel.no/cashback/skistarttrumf
Skogstad Sport,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/skogstad-sport-trumf
Skomani,"8,1 % (109 poeng per 100kr)",https://trumfnetthandel.no/cashback/skomani-trumf
